,id,fl_date,op_carrier,op_carrier_fl_num,origin_city_name,dest_city_name,crs_dep_time,dep_time,wheels_on,taxi_in,crs_arr_time,arr_time,cancelled,distance
0,0,2000-01-01,US,2621,"Boston, MA","Atlanta, GA",1440,1446.0,1713.0,4.0,1738,1717.0,0,946
1,1,2000-01-01,DL,346,"Baton Rouge, LA","Atlanta, GA",1740,1744.0,1957.0,9.0,2008,2006.0,0,449
2,2,2000-01-01,DL,412,"Baton Rouge, LA","Atlanta, GA",1345,1345.0,1552.0,9.0,1622,1601.0,0,449
3,3,2000-01-01,DL,299,"Buffalo, NY","Atlanta, GA",1245,1245.0,1443.0,5.0,1455,1448.0,0,712
4,4,2000-01-01,DL,495,"Buffalo, NY","Atlanta, GA",2035,2035.0,2226.0,9.0,2241,2235.0,0,712
5,5,2000-01-01,DL,677,"Buffalo, NY","Atlanta, GA",710,710.0,940.0,7.0,925,947.0,0,712
6,6,2000-01-01,DL,251,"Baltimore, MD","Atlanta, GA",2040,2100.0,2235.0,7.0,2233,2242.0,0,576
7,7,2000-01-01,DL,1003,"Baltimore, MD","Atlanta, GA",1635,1838.0,2020.0,12.0,1832,2032.0,0,576
8,8,2000-01-01,NW,499,"Detroit, MI","Atlanta, GA",1915,1916.0,2048.0,6.0,2115,2054.0,0,594
9,9,2000-01-01,NW,801,"Detroit, MI","Atlanta, GA",1335,1339.0,1515.0,5.0,1545,1520.0,0,594
10,10,2000-01-01,DL,214,"Eagle, CO","Atlanta, GA",1300,1305.0,1807.0,22.0,1802,1829.0,0,1312
11,11,2000-01-01,DL,1724,"El Paso, TX","Atlanta, GA",1125,1123.0,1608.0,16.0,1629,1624.0,0,1282
12,12,2000-01-01,WN,467,"Kansas City, MO","Nashville, TN",1405,1420.0,1530.0,4.0,1525,1534.0,0,491
13,13,2000-01-01,DL,2405,"Orlando, FL","Nashville, TN",1935,1931.0,2014.0,5.0,2030,2019.0,0,616
14,14,2000-01-01,DL,2418,"Orlando, FL","Nashville, TN",835,831.0,920.0,5.0,935,925.0,0,616
15,15,2000-01-01,DL,2540,"Orlando, FL","Nashville, TN",1645,1645.0,1727.0,7.0,1745,1734.0,0,616
16,16,2000-01-01,WN,723,"Orlando, FL","Nashville, TN",1355,1355.0,1444.0,5.0,1445,1449.0,0,616
17,17,2000-01-01,WN,1409,"Orlando, FL","Nashville, TN",1545,1553.0,1644.0,3.0,1635,1647.0,0,616
18,18,2000-01-01,WN,360,"Chicago, IL","Nashville, TN",1215,1220.0,1327.0,3.0,1330,1330.0,0,395
19,19,2000-01-01,UA,435,"Denver, CO","Boise, ID",1750,1751.0,1958.0,5.0,1940,2003.0,0,649
20,20,2000-01-01,UA,1561,"Denver, CO","Boise, ID",1145,1144.0,1334.0,3.0,1342,1337.0,0,649
21,21,2000-01-01,WN,863,"Spokane, WA","Boise, ID",1110,1110.0,1304.0,1.0,1305,1305.0,0,287
22,22,2000-01-01,WN,580,"Las Vegas, NV","Boise, ID",925,925.0,1149.0,3.0,1205,1152.0,0,520
23,23,2000-01-01,WN,1012,"Las Vegas, NV","Boise, ID",1710,1724.0,1950.0,4.0,1945,1954.0,0,520
25,25,2000-01-01,NW,1273,"Minneapolis, MN","Boise, ID",2035,2049.0,2246.0,8.0,2248,2254.0,0,1142
27,27,2000-01-01,DL,254,"Atlanta, GA","Washington, DC",2130,2124.0,2252.0,6.0,2308,2258.0,0,547
28,28,2000-01-01,DL,578,"Atlanta, GA","Washington, DC",1825,1826.0,1953.0,4.0,2009,1957.0,0,547
29,29,2000-01-01,DL,646,"Atlanta, GA","Washington, DC",1425,1430.0,1558.0,7.0,1604,1605.0,0,547
30,30,2000-01-01,NW,1155,"Detroit, MI","Fort Wayne, IN",1205,1204.0,1239.0,3.0,1300,1242.0,0,128
31,31,2000-01-01,WN,369,"Boise, ID","Spokane, WA",1555,1555.0,1547.0,3.0,1555,1550.0,0,287
32,32,2000-01-01,WN,1149,"Boise, ID","Spokane, WA",1050,1050.0,1043.0,1.0,1050,1044.0,0,287
33,33,2000-01-01,UA,1035,"Denver, CO","Spokane, WA",1140,1137.0,1241.0,4.0,1301,1245.0,0,835
34,34,2000-01-01,UA,1727,"Denver, CO","Spokane, WA",1750,1747.0,1910.0,4.0,1904,1914.0,0,835
35,35,2000-01-01,WN,762,"Las Vegas, NV","Spokane, WA",1120,1120.0,1333.0,2.0,1335,1335.0,0,806
37,37,2000-01-01,NW,571,"Minneapolis, MN","Spokane, WA",1100,1059.0,1157.0,7.0,1218,1204.0,0,1175
38,38,2000-01-01,NW,621,"Minneapolis, MN","Spokane, WA",1705,1701.0,1800.0,7.0,1819,1807.0,0,1175
39,39,2000-01-01,WN,819,"Oakland, CA","Spokane, WA",1135,1135.0,1319.0,3.0,1330,1322.0,0,723
40,40,2000-01-01,NW,1859,"Detroit, MI","Grand Rapids, MI",1910,1905.0,1945.0,4.0,2006,1949.0,0,120
41,41,2000-01-01,NW,830,"Memphis, TN","Grand Rapids, MI",2020,2009.0,2230.0,4.0,2311,2234.0,0,591
42,42,2000-01-01,NW,1618,"Memphis, TN","Grand Rapids, MI",1400,1356.0,1633.0,3.0,1705,1636.0,0,591
43,43,2000-01-01,NW,1262,"Minneapolis, MN","Grand Rapids, MI",1500,1454.0,1658.0,4.0,1720,1702.0,0,408
45,45,2000-01-01,NW,1284,"Minneapolis, MN","Grand Rapids, MI",710,705.0,908.0,6.0,930,914.0,0,408
46,46,2000-01-01,UA,422,"Chicago, IL","Grand Rapids, MI",1914,1910.0,2046.0,4.0,2101,2050.0,0,137
47,47,2000-01-01,CO,1860,"Houston, TX","Greensboro/High Point, NC",1325,1322.0,1651.0,3.0,1654,1654.0,0,986
48,48,2000-01-01,UA,750,"Chicago, IL","Greensboro/High Point, NC",1755,1753.0,2035.0,4.0,2031,2039.0,0,590
49,49,2000-01-01,UA,1538,"Chicago, IL","Greensboro/High Point, NC",1340,1337.0,1608.0,4.0,1619,1612.0,0,590
51,51,2000-01-01,US,989,"Philadelphia, PA","Greensboro/High Point, NC",1330,1457.0,1617.0,2.0,1453,1619.0,0,365
52,52,2000-01-01,US,1425,"Philadelphia, PA","Greensboro/High Point, NC",1530,1545.0,1655.0,3.0,1649,1658.0,0,365
53,53,2000-01-01,US,1987,"Philadelphia, PA","Greensboro/High Point, NC",1940,2113.0,2231.0,4.0,2106,2235.0,0,365
54,54,2000-01-01,US,307,"Pittsburgh, PA","Greensboro/High Point, NC",1600,1554.0,1654.0,3.0,1703,1657.0,0,304
